sample,response
sample0,5.00165832521003
sample1,-8.76682622910416
sample2,4.065222196961679
sample3,17.28511421332543
sample4,-3.1800070281874326
sample5,-6.33845086889952
sample6,-4.962692607805117
sample7,1.7129499131544619
sample8,3.2651258090073467
sample9,-7.091958873394582
sample10,5.571189817419494
sample11,-21.997864714655567
sample12,-6.399832314451586
sample13,-2.6633710459289395
sample14,5.992381684863661
sample15,-0.9931833803018915
sample16,8.669516049768152
sample17,-1.7993884476929285
sample18,6.804820868660728
sample19,-1.3429524673650355
sample20,-4.711553194923285
sample21,2.832111314269478
sample22,3.197068942968792
sample23,0.5500820318919037
sample24,-8.015694274694468
sample25,-14.775771299406236
sample26,4.990400111284926
sample27,10.962699706963322
sample28,4.390328472921466
sample29,7.728255239190299
sample30,-2.398138731326935
sample31,12.412581276437614
sample32,16.88773305304786
sample33,-9.426466225133636
sample34,-1.2439337842412646
sample35,5.022238050094687
sample36,-6.651400042535033
sample37,7.3138244415729075
sample38,15.998779618827434
sample39,15.10511433908105
sample40,-9.541203298738159
sample41,5.140039736474092
sample42,-2.6127226093370193
sample43,-0.572771807224453
sample44,-1.3490614349813006
sample45,0.729236279935888
sample46,-9.109990945947741
sample47,4.654265347943165
sample48,-0.6526011870223238
sample49,3.1741651820648507
sample50,-0.6515981367574449
sample51,-5.986753262657823
sample52,1.7957772689234885
sample53,-12.845348320333343
sample54,-3.646658911135717
sample55,-12.689233952530138
sample56,0.651887684261419
sample57,-2.9325924488079487
sample58,-4.833045074043106
sample59,-0.8905472937903824
sample60,11.290237716095831
sample61,0.46414236510740414
sample62,9.3668371912877
sample63,9.332635851940363
sample64,-3.637696316132231
sample65,-2.4896402367234884
sample66,18.968802129857142
sample67,5.925213460377919
sample68,21.30941095913693
sample69,-10.219558182037758
sample70,-4.0744997123867925
sample71,-0.6892316438086272
sample72,-12.787279142559166
sample73,2.7746946373327463
sample74,15.539071104147087
sample75,-11.674125856395296
sample76,14.22744967714572
sample77,-4.035114491705967
sample78,0.32478753149826156
sample79,4.274144431967352
sample80,0.34754183688089124
sample81,2.8583443580449073
sample82,0.7960088195640215
sample83,10.344572704983495
sample84,1.2184723589896715
sample85,-1.5199552430849312
sample86,-4.091808797101896
sample87,2.1480015223798787
sample88,9.937815085969103
sample89,7.750362515988169
sample90,14.636826708107435
sample91,6.194417167608179
sample92,-18.229153001688438
sample93,-3.8634033284306444
sample94,-8.358545540711926
sample95,-4.1891496434284665
sample96,3.8956787493740217
sample97,-2.8579387072080054
sample98,1.8544078083086077
sample99,-9.25628639472792
sample100,-5.758188623191004
sample101,4.117548116847969
sample102,-6.45626399876031
sample103,6.684549746917975
sample104,-4.597263509654445
sample105,-1.0570141555975527
sample106,9.811552972864243
sample107,-3.6194138928398814
sample108,-3.3009401409190686
sample109,8.56507366179325
sample110,-4.580443190282953
sample111,-6.927857110782283
sample112,1.2883520601203786
sample113,-0.7154553345581696
sample114,-4.85207301345374
sample115,-17.791515964729072
sample116,7.103181184573908
sample117,-16.612144275203846
sample118,3.7332394428619384
sample119,-5.78954536543867
sample120,3.330033394243579
sample121,0.6052866693934185
sample122,2.261549276381055
sample123,13.969271059296663
sample124,-4.577326240272065
sample125,19.05228264748991
sample126,-7.14563374508084
sample127,3.5724028767493405
sample128,-6.137179634524117
sample129,-0.6809681733191111
sample130,12.840111935249345
sample131,-1.6929398501868944
sample132,-1.343210508832707
sample133,10.307447679882694
sample134,4.846551328869925
sample135,-0.3457451867967649
sample136,11.40460260130464
sample137,-0.008820598158371329
